horizon,horizon_days,model_1,model_2,n,DM_HAC,p_value_HAC,HAC_bandwidth,overlap_warning
24M,730,Historical Mean,OLS,2302,1.1812697924897755,0.2374955634230731,729,False
24M,730,Historical Mean,Persistence Direction,2302,-2.8181134135885664,0.004830674341530061,729,False
24M,730,Historical Mean,Random Walk with Drift,2302,,,729,False
24M,730,Historical Mean,VS-LSTM,2302,0.27521679957807227,0.7831496809641103,729,False
24M,730,Historical Mean,Zero Return,2302,-0.0441607810439645,0.9647762437296483,729,False
24M,730,Historical Median,LSTM,2302,0.23771263266719972,0.8121039850397622,729,False
24M,730,Historical Median,Majority Direction,2302,-2.5326482865491124,0.011320447656189003,729,False
24M,730,Historical Median,OLS,2302,0.023493813570289096,0.9812563731801938,729,False
24M,730,Historical Median,Persistence Direction,2302,-3.423984117311396,0.0006171022748697741,729,False
24M,730,Historical Median,Random Walk with Drift,2302,-1.9552254757353003,0.05055646289916904,729,False
24M,730,Historical Median,VS-LSTM,2302,-0.012032900362913818,0.9903993662597101,729,False
24M,730,Historical Median,Zero Return,2302,-0.33224865612169824,0.7397015061952774,729,False
24M,730,LSTM,Majority Direction,2302,-0.6361956268883201,0.5246489231418447,729,False
24M,730,LSTM,OLS,2302,-0.2284688089603082,0.819281801764852,729,False
24M,730,LSTM,Persistence Direction,2302,-7.106475140751983,1.1903811270030928e-12,729,False
24M,730,LSTM,Random Walk with Drift,2302,-0.49705194316937146,0.6191524222833489,729,False
24M,730,LSTM,VS-LSTM,2302,-1.9848263841068698,0.04716379097629053,729,False
24M,730,LSTM,Zero Return,2302,-1.5774598739122974,0.11468974799566212,729,False
24M,730,Majority Direction,OLS,2302,1.6753034655623444,0.09387470584398949,729,False
24M,730,Majority Direction,Persistence Direction,2302,-2.554920106496345,0.010621217346106215,729,False
24M,730,Majority Direction,Random Walk with Drift,2302,3.7436045641771227,0.00018139906164060804,729,False
24M,730,Majority Direction,VS-LSTM,2302,0.4282191014938829,0.66849161067566,729,False
24M,730,Majority Direction,Zero Return,2302,0.1070925776909808,0.9147155354489946,729,False
24M,730,OLS,Persistence Direction,2302,-3.5171811213271678,0.0004361560575572021,729,False
24M,730,OLS,Random Walk with Drift,2302,-1.1812697924897755,0.2374955634230731,729,False
24M,730,OLS,VS-LSTM,2302,-0.016260818088718394,0.9870263160412285,729,False
24M,730,OLS,Zero Return,2302,-0.341150215329647,0.7329904998387069,729,False
24M,730,Persistence Direction,Random Walk with Drift,2302,2.8181134135885664,0.004830674341530061,729,False
24M,730,Persistence Direction,VS-LSTM,2302,7.61197931661045,2.708944180085382e-14,729,False
24M,730,Persistence Direction,Zero Return,2302,15.65696783388899,0.0,729,False
