date,active_addresses,transactions,difficulty,hashrate,block_size,transaction_value,avg_transaction_value,price,return_log_pct,return_simple_pct,lag1_price,lag1_return,rolling_vol_7d,rolling_vol_30d,day_of_week,month,year,target_price_t1,target_return_t1
2015-08-04,260149.0,132411.0,52278304846.0,4.042239054330471e+17,797497.0,2510.0,129.195,283.586,0.35148055266833916,0.3520989698893473,282.591,0.8079516973573678,0.8345040911370576,1.858759762671796,1,8,2015,282.593,-0.3507728185498863
2015-08-05,280613.0,133625.0,52278304846.0,3.1832162363997056e+17,800884.0,2627.0,123.216,282.593,-0.3507728185498863,-0.3501583293956667,283.586,0.35148055266833916,0.7914010328382525,1.7981382567825104,2,8,2015,279.109,-1.2405313421725512
2015-08-06,257987.0,134695.0,52278304846.0,3.708144293370082e+17,785084.0,2395.0,81.601,279.109,-1.2405313421725512,-1.2328684716182092,282.593,-0.3507728185498863,0.8192017529536245,1.78777172885575,3,8,2015,278.091,-0.3653988272300899
2015-08-07,248898.0,111208.0,52278304846.0,3.8113890101436736e+17,498118.0,2792.0,98.181,278.091,-0.3653988272300899,-0.3647320580848268,279.109,-1.2405313421725512,0.7689256059038048,1.7896912926593072,4,8,2015,272.542,-2.0155667589598627
2015-08-08,251314.0,101351.0,52516565208.0,3.8587425653416806e+17,350327.0,3305.0,70.7,272.542,-2.0155667589598627,-1.9953899982379952,278.091,-0.3653988272300899,0.9453389899050048,1.8293316140340277,5,8,2015,263.326,-3.4399922363171784
2015-08-09,240857.0,90392.0,52699842409.0,3.764410686507203e+17,368472.0,3577.0,70.711,263.326,-3.4399922363171784,-3.3814971637398883,272.542,-2.0155667589598627,1.4652897877338336,1.768380532174884,6,8,2015,264.516,0.4508932658275011
2015-08-10,253842.0,116674.0,52699842409.0,4.1691155156172685e+17,450323.0,2817.0,97.62,264.516,0.4508932658275011,0.45191131904938064,263.326,-3.4399922363171784,1.4010030800334035,1.626607468283781,0,8,2015,265.458,0.35548951157084546
2015-08-11,236213.0,114579.0,52699842409.0,4.5338481474692864e+17,410333.0,2720.0,104.25,265.458,0.35548951157084546,0.35612212493763007,264.516,0.4508932658275011,1.401621725995191,1.377610363272939,1,8,2015,267.668,0.8290770508385445
2015-08-12,246215.0,117772.0,52699842409.0,3.609164859988797e+17,503121.0,3045.0,97.851,267.668,0.8290770508385445,0.8325234123665481,265.458,0.35548951157084546,1.5480937699303776,1.268837586673412,2,8,2015,264.053,-1.3597566013326776
2015-08-13,237969.0,117360.0,52699842409.0,3.692041976373595e+17,443967.0,3299.0,78.0,264.053,-1.3597566013326776,-1.3505536709655264,267.668,0.8290770508385445,1.5547090320213997,1.2730468393040364,3,8,2015,264.837,0.2964701825500236
2015-08-14,236280.0,111113.0,52699842409.0,3.793820089450111e+17,433286.0,3289.0,80.466,264.837,0.2964701825500236,0.2969100900197974,264.053,-1.3597566013326776,1.6043251728648484,1.2767338333076568,4,8,2015,264.722,-0.0434323661037931
2015-08-15,236800.0,94807.0,52699842409.0,3.5845024874184966e+17,391396.0,2886.0,62.346,264.722,-0.0434323661037931,-0.04342293561701016,264.837,0.2964701825500236,1.504357158054485,1.1875539665617219,5,8,2015,258.969,-2.197185532113774
2015-08-16,246539.0,89360.0,52699842409.0,3.698356447832034e+17,378500.0,3165.0,80.013,258.969,-2.197185532113774,-2.1732232304077392,264.722,-0.0434323661037931,1.1094831433974437,1.2070762553872696,6,8,2015,257.854,-0.4314830144554695
2015-08-17,245985.0,114902.0,52699842409.0,3.5897207908642714e+17,425285.0,3408.0,108.44,257.854,-0.4314830144554695,-0.43055346392811833,258.969,-2.197185532113774,1.0674530201409866,1.2059772034416296,0,8,2015,253.79,-1.5886379870925667
2015-08-18,267354.0,119657.0,52699842409.0,3.8211568927700646e+17,479285.0,3874.0,111.296,253.79,-1.5886379870925667,-1.5760856919031618,257.854,-0.4314830144554695,1.101309411170011,1.2242992779387147,1,8,2015,231.748,-9.085657898129904
2015-08-19,259630.0,119995.0,52699842409.0,3.996314920317594e+17,414354.0,3159.0,102.556,231.748,-9.085657898129904,-8.685133377989674,253.79,-1.5886379870925667,3.223940674773437,2.01449887906926,2,8,2015,232.887,0.4902782965285252
2015-08-20,239574.0,118080.0,52699842409.0,4.131184152055477e+17,407357.0,3129.0,100.942,232.887,0.4902782965285252,0.4914821271380987,231.748,-9.085657898129904,3.3635779348222465,2.006022245284814,3,8,2015,233.452,0.24231311404485714
2015-08-21,243537.0,113627.0,52699842409.0,3.924909591708461e+17,365962.0,2974.0,82.089,233.452,0.24231311404485714,0.24260692954094498,232.887,0.4902782965285252,3.358025217112173,2.011664225235382,4,8,2015,229.848,-1.555826763781921
2015-08-22,268182.0,105507.0,54207364887.0,4.338432441214149e+17,378159.0,2795.0,58.619,229.848,-1.555826763781921,-1.5437863029659105,233.452,0.24231311404485714,3.273615813958596,2.0143700635436614,5,8,2015,229.287,-0.24437269177113122
2015-08-23,258445.0,94395.0,54256630328.0,3.898660617717915e+17,408694.0,2492.0,60.678,229.287,-0.24437269177113122,-0.24407434478438406,229.848,-1.555826763781921,3.3383713159115627,1.9532380774035825,6,8,2015,219.892,-4.18379772435815
